trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9920319148370607}",25,13,-14.909777132225486,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,0,-81.44734208372367,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9762857097579093}",25,0,-166.74296550283887,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9685065820791976}",25,0,-150.94108384903018,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-105.18001961485818,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9531337870775047}",25,0,-147.35535974021792,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9455391358903963}",25,0,-149.44814653886337,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9380049995307295}",20,7,-66.58766669482193,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-199.3648283121874,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-111.52573449362414,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9157608767233256}",20,0,-153.2402653640235,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9084640160687062}",20,0,-52.877788310051216,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9012252974212047}",20,0,-128.08710608456207,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8940442575003572}",25,0,-114.8924348645659,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-20.051779266749588,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8798533791446438}",25,0,-142.43451296759886,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8728426324887193}",20,8,-70.41751685800196,"{0: 6, 1: 0, 2: 4, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.865887748059205}",20,0,-42.67608417354018,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8589882807411234}",30,0,-119.79450576919996,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-153.79072632664145,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8453538346846587}",20,0,-84.54938775714977,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.838617983337074}",20,0,-144.26038592373075,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8319358038266718}",20,0,-44.238324642761256,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8253068684916823}",20,0,-16.659651639462567,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-79.68244567486677,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.812207036711939}",20,9,7.729529134713614,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8057353018734796}",30,0,-65.20437048117336,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7993151343693651}",25,0,-97.21231744473548,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7929461233066837}",20,0,-52.12607691065949,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-87.6713200547183,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7803599432780343}",30,0,-162.50473694751815,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7741419687922484}",20,0,-103.9797509138943,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7679735396567061}",25,0,-111.8142545270083,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7618542610898376}",20,0,-81.72322040686652,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,4,6.85951525508101,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.7497615922390413}",25,3,-81.20934796889496,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.7437874280201796}",25,0,-154.72293294217764,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.7378608664505911}",25,0,-91.40262878703452,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.7319815282283126}",25,0,-80.63709974606098,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,6,-95.02515982753381,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.7203630197053014}",20,5,-23.084541364061394,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.7146231058160573}",20,0,-49.63123490767142,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.7089289280495107}",20,0,-200.86229934485746,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.7032801219763409}",30,0,-116.11806455458041,"{0: 22, 1: 3, 2: 1, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-25.57133852912271,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6921171816887304}",25,0,-60.82100287917109,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
