trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.92599553587308,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.79726197230544,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.61619354197373,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.31876587023187,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.8107214527353,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,3,-55.33707123515763,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.19050494611264,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.7620996447566,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.98466722002647,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.7018622304617,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.8798874493252,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,1,-125.66408242403043,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.50596097338364,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,10,-44.798177284534844,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.02393827396952,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.98319531122587,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.69285479112531,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.33795537931091,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.97804507741205,"{0: 11, 1: 3, 2: 1, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.60201512418197,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,9,-75.3886462679468,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.09673479148611,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.581722819294654,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.62245814146854,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.7243950021826,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.97500628529392,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.87879433173845,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-188.6126991112661,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.45765486405512,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.21943616869547,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
